text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
يوم الاثنين تاسع عشري محرم سنة اثنتين وأربعين [وستمئة,29,Yawm al-ithnayn,1.0,642,"['يوم', 'الاثنين', 'تاسع', 'عشري', 'محرم', 'سنة', 'اثنتين', 'واربعين', 'وستمئة']",False,True,True,19.0,1,642.0,"<re.Match object; span=(0, 53), match=' يوم الاثنين تاسع عشري محرم سنة اثنتين واربعين وس>"
ثلاث وأربعين وستمائة,,,,643,"['ثلاث', 'واربعين', 'وستمائة']",False,False,False,,,,
خمس خلون من صفر سنة سبع وأربعين وستمئة,25,,2.0,647,"['خمس', 'خلون', 'من', 'صفر', 'سنة', 'سبع', 'واربعين', 'وستمئة']",False,True,True,,2,647.0,"<re.Match object; span=(0, 39), match=' خمس خلون من صفر سنة سبع واربعين وستمئة'>"
يوم الجمعة ثاني عشري شهر ربيع الآخر سنة اثنتين وأربعين وستمئة,22,Yawm al-juma,4.0,642,"['يوم', 'الجمعة', 'ثاني', 'عشري', 'شهر', 'ربيع', 'الاخر', 'سنة', 'اثنتين', 'واربعين', 'وستمئة']",False,True,True,12.0,4,642.0,"<re.Match object; span=(0, 62), match=' يوم الجمعة ثاني عشري شهر ربيع الاخر سنة اثنتين و>"
يوم الخميس لتسع خلون من ربيع الآخر عام ثمانية وسبعمائة,9,Yawm al-khamis,4.0,708,"['يوم', 'الخميس', 'لتسع', 'خلون', 'من', 'ربيع', 'الاخر', 'عام', 'ثمانية', 'وسبعمائة']",False,True,False,,4,,"<re.Match object; span=(0, 39), match=' يوم الخميس لتسع خلون من ربيع الاخر عام'>"
يوم الأربعاء يوم عرفة المبارك سنة خمس وسبعمئة,9,Yawm al-arba'a,12.0,705,"['يوم', 'الاربعاء', 'يوم', 'عرفة', 'المبارك', 'سنة', 'خمس', 'وسبعمئة']",False,False,True,,,705.0,"<re.Match object; span=(0, 46), match=' يوم الاربعاء يوم عرفة المبارك سنة خمس وسبعمئة'>"
يوم الجمعة لليلتين إن بقيتا من رمضان عام سبع وسبع مائة,28,Yawm al-juma,9.0,707,"['يوم', 'الجمعة', 'لليلتين', 'ان', 'بقيتا', 'من', 'رمضان', 'عام', 'سبع', 'وسبع', 'مائة']",False,True,True,,9,707.0,"<re.Match object; span=(0, 55), match=' يوم الجمعة لليلتين ان بقيتا من رمضان عام سبع وسب>"
يوم السبت لثمان بقين من شهر رمضان المعظم عام عشر وسبعمائة,22,Yawm al-sabt,9.0,710,"['يوم', 'السبت', 'لثمان', 'بقين', 'من', 'شهر', 'رمضان', 'المعظم', 'عام', 'عشر', 'وسبعمائة']",False,True,True,,9,710.0,"<re.Match object; span=(0, 58), match=' يوم السبت لثمان بقين من شهر رمضان المعظم عام عشر>"
يوم الاثنين ثالث عشري شهر ربيع الأول سنة اثنتين وعشرين سبعمئة,23,Yawm al-ithnayn,3.0,722,"['يوم', 'الاثنين', 'ثالث', 'عشري', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'وعشرين', 'سبعمئة']",False,True,True,13.0,3,722.0,"<re.Match object; span=(0, 62), match=' يوم الاثنين ثالث عشري شهر ربيع الاول سنة اثنتين >"
 يوم عيد الفطر سنة ثمان وسبعين وستمئة,1,,10.0,678,"['يوم', 'عيد', 'الفطر', 'سنة', 'ثمان', 'وسبعين', 'وستمئة']",False,False,True,,,678.0,"<re.Match object; span=(0, 37), match=' يوم عيد الفطر سنة ثمان وسبعين وستمئة'>"
ذي القعدة من السنة,,,11.0,678,"['ذي', 'القعدة', 'من', 'السنة']",False,False,False,,,,
في ثامن عشري جمادى الآخرة سنة اثنتين وثمانين وسبعمئة,28,,6.0,782,"['في', 'ثامن', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'اثنتين', 'وثمانين', 'وسبعمئة']",False,True,True,18.0,6,782.0,"<re.Match object; span=(0, 53), match=' في ثامن عشري جمادى الاخرة سنة اثنتين وثمانين وسب>"
يوم الجمعة ثالث جمادى الثاني سنة سبع وثلاثين وثماني مائة,3,Yawm al-juma,6.0,837,"['يوم', 'الجمعة', 'ثالث', 'جمادى', 'الثاني', 'سنة', 'سبع', 'وثلاثين', 'وثماني', 'مائة']",False,False,True,2.0,,837.0,"<re.Match object; span=(0, 57), match=' يوم الجمعة ثالث جمادى الثاني سنة سبع وثلاثين وثم>"
 يوم الخميس من رجب سنة اثنتين وعشرين وستمائة,,Yawm al-khamis,7.0,622,"['يوم', 'الخميس', 'من', 'رجب', 'سنة', 'اثنتين', 'وعشرين', 'وستمائة']",False,True,True,5.0,7,622.0,"<re.Match object; span=(0, 44), match=' يوم الخميس من رجب سنة اثنتين وعشرين وستمائة'>"
يوم الأحد ثالث عشري ذي الحجة سنة سبع وتسعين وخمسمائة,23,Yawm al-ahad,12.0,597,"['يوم', 'الاحد', 'ثالث', 'عشري', 'ذي', 'الحجة', 'سنة', 'سبع', 'وتسعين', 'وخمسمائة']",False,True,True,13.0,12,597.0,"<re.Match object; span=(0, 53), match=' يوم الاحد ثالث عشري ذي الحجة سنة سبع وتسعين وخمس>"
في الثالث عشر من رجب سنة تسع وستمائة,23,,7.0,609,"['في', 'الثالث', 'عشر', 'من', 'رجب', 'سنة', 'تسع', 'وستمائة']",False,True,True,13.0,7,609.0,"<re.Match object; span=(0, 37), match=' في الثالث عشر من رجب سنة تسع وستمائة'>"
يوم الخميس الحادي وعشري شهر ربيع الأول سنة اثنتين وسبعين وستمئة,21,Yawm al-khamis,3.0,672,"['يوم', 'الخميس', 'الحادي', 'وعشري', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'وسبعين', 'وستمئة']",False,True,True,11.0,3,672.0,"<re.Match object; span=(0, 64), match=' يوم الخميس الحادي وعشري شهر ربيع الاول سنة اثنتي>"
يوم الأحد خامس وعشرين محرم الميمون سنة تسع وستين وستمائة,25,Yawm al-ahad,1.0,669,"['يوم', 'الاحد', 'خامس', 'وعشرين', 'محرم', 'الميمون', 'سنة', 'تسع', 'وستين', 'وستمائة']",False,False,True,,,669.0,"<re.Match object; span=(0, 57), match=' يوم الاحد خامس وعشرين محرم الميمون سنة تسع وستين>"
يوم الحادي عشر يوم الخميس وقت آذان العصر من شهر المحرم سنة أربع وستمائة,11,Yawm al-khamis,1.0,604,"['يوم', 'الحادي', 'عشر', 'يوم', 'الخميس', 'وقت', 'اذان', 'العصر', 'من', 'شهر', 'المحرم', 'سنة', 'اربع', 'وستمائة']",False,True,True,,1,604.0,"<re.Match object; span=(0, 72), match=' يوم الحادي عشر يوم الخميس وقت اذان العصر من شهر >"
في العشر الأواخر من جمادى الآخر [...] وستمائة,21- 30,,6.0,600- 603؟,"['في', 'العشر', 'الاواخر', 'من', 'جمادى', 'الاخر', '.', '.', '.', 'وستمائة']",False,False,False,,,,
ي ست وخمسين وخمسماية,,,,556,"['ي', 'ست', 'وخمسين', 'وخمسماية']",False,False,False,,,,
في بعض شهور سنتي سبع وثمان وثلاثين وخمسمائة,,,,537- 538,"['في', 'بعض', 'شهور', 'سنتي', 'سبع', 'وثمان', 'وثلاثين', 'وخمسمائة']",False,False,False,,,,
ثاني عشري جمادى الأولى سنة اثنتين وسبعين وخمس مئة,22,,5.0,572,"['ثاني', 'عشري', 'جمادى', 'الاولى', 'سنة', 'اثنتين', 'وسبعين', 'وخمس', 'مئة']",False,True,True,12.0,5,572.0,"<re.Match object; span=(0, 50), match=' ثاني عشري جمادى الاولى سنة اثنتين وسبعين وخمس مئ>"
يوم الجمعة |الحادي| والعشرين من جمادى الأولى سنة إحدى وستين وخمس ماية,21,,5.0,561,"['يوم', 'الجمعة', '|', 'الحادي', '|', 'والعشرين', 'من', 'جمادى', 'الاولى', 'سنة', 'احدى', 'وستين', 'وخمس', 'ماية']",False,True,True,20.0,5,561.0,"<re.Match object; span=(22, 72), match=' والعشرين من جمادى الاولى سنة احدى وستين وخمس ماي>"
يوم الخميس الرابع والعشرين [...] سنة ست عشرة وستماية ,24,Yawm al-khamis,,616,"['يوم', 'الخميس', 'الرابع', 'والعشرين', '.', '.', '.', 'سنة', 'ست', 'عشرة', 'وستماية']",False,True,True,,,616.0,"<re.Match object; span=(33, 53), match=' سنة ست عشرة وستماية'>"
الخامس والعشرين من [... سنة اثنتين وعشرين؟] وستمائة,25,,,622؟,"['الخامس', 'والعشرين', 'من', '.', '.', '.', 'سنة', 'اثنتين', 'وعشرين', '؟', 'وستمائة']",False,True,,,,22.0,"<re.Match object; span=(25, 43), match=' سنة اثنتين وعشرين'>"
يوم الأحد رابع عشري شهر الله المحرم سنة ست وعشرين وستمائة,24,Yawm al-ahad,1.0,626,"['يوم', 'الاحد', 'رابع', 'عشري', 'شهر', 'الله', 'المحرم', 'سنة', 'ست', 'وعشرين', 'وستمائة']",False,True,True,14.0,1,626.0,"<re.Match object; span=(0, 58), match=' يوم الاحد رابع عشري شهر الله المحرم سنة ست وعشري>"
يوم الجمعة سادس عشري جمادى الآخرة سنة اثنتين وعشرين وست مئة,26,Yawm al-juma,6.0,622,"['يوم', 'الجمعة', 'سادس', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'اثنتين', 'وعشرين', 'وست', 'مئة']",False,True,True,16.0,6,622.0,"<re.Match object; span=(0, 60), match=' يوم الجمعة سادس عشري جمادى الاخرة سنة اثنتين وعش>"
منتصف شهر رمضان سنة أربع عشرة وستمائة,15,,9.0,614,"['منتصف', 'شهر', 'رمضان', 'سنة', 'اربع', 'عشرة', 'وستمائة']",False,True,True,,9,614.0,"<re.Match object; span=(0, 38), match=' منتصف شهر رمضان سنة اربع عشرة وستمائة'>"
ثمان وثمانين خمس ماية,,,,588,"['ثمان', 'وثمانين', 'خمس', 'ماية']",False,False,False,,,,
الثاني والعشرين [...] سنة سبع وتسعين وخمسماية,22,,,597,"['الثاني', 'والعشرين', '.', '.', '.', 'سنة', 'سبع', 'وتسعين', 'وخمسماية']",False,True,True,,,597.0,"<re.Match object; span=(22, 46), match=' سنة سبع وتسعين وخمسماية'>"
الخامس عشر من جمادى الآخرة [.......................وخمسماية,15,,6.0,590- 599؟,"['الخامس', 'عشر', 'من', 'جمادى', 'الاخرة', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'وخمسماية']",False,False,False,,,,
لست إن بقين من ربيع الأ[ول] من سنة أربع وتسعين وخمس ماية,24,,3.0,594,"['لست', 'ان', 'بقين', 'من', 'ربيع', 'الاول', 'من', 'سنة', 'اربع', 'وتسعين', 'وخمس', 'ماية']",False,True,True,,3,594.0,"<re.Match object; span=(0, 55), match=' لست ان بقين من ربيع الاول من سنة اربع وتسعين وخم>"
في اليوم الخامس من شوال سنة ثمان وتسعين وخمسماية,,Yawm al-khamis,10.0,598,"['في', 'اليوم', 'الخامس', 'من', 'شوال', 'سنة', 'ثمان', 'وتسعين', 'وخمسماية']",False,True,True,5.0,10,598.0,"<re.Match object; span=(0, 49), match=' في اليوم الخامس من شوال سنة ثمان وتسعين وخمسماية>"
 يوم الاثنين لأربع خلون من جمادى الآخرة من سنة سبع وتسعين وخمسماية ,4,Yawm al-ithnayn,6.0,597,"['يوم', 'الاثنين', 'لاربع', 'خلون', 'من', 'جمادى', 'الاخرة', 'من', 'سنة', 'سبع', 'وتسعين', 'وخمسماية']",False,True,True,,6,597.0,"<re.Match object; span=(0, 66), match=' يوم الاثنين لاربع خلون من جمادى الاخرة من سنة سب>"
 يوم الخميس سادس عشر شهر رمضان المعظم قدره من شهور سنة خمس وستين وثماني ماية,16,Yawm al-khamis,9.0,865,"['يوم', 'الخميس', 'سادس', 'عشر', 'شهر', 'رمضان', 'المعظم', 'قدره', 'من', 'شهور', 'سنة', 'خمس', 'وستين', 'وثماني', 'ماية']",False,False,True,,,865.0,"<re.Match object; span=(0, 76), match=' يوم الخميس سادس عشر شهر رمضان المعظم قدره من شهو>"
يوم الاثنين السادس من شهر ذي الحجة الحرام بحرم القدس الشريف سنة تسع وسبعين وسبعمئة,6,Yawm al-ithnayn,12.0,779,"['يوم', 'الاثنين', 'السادس', 'من', 'شهر', 'ذي', 'الحجة', 'الحرام', 'بحرم', 'القدس', 'الشريف', 'سنة', 'تسع', 'وسبعين', 'وسبعمئة']",False,False,True,,,779.0,"<re.Match object; span=(0, 83), match=' يوم الاثنين السادس من شهر ذي الحجة الحرام بحرم ا>"
 سابع عشري رجب سنة ثلاث وخمسين وسبعمئة,27,,7.0,753,"['سابع', 'عشري', 'رجب', 'سنة', 'ثلاث', 'وخمسين', 'وسبعمئة']",False,True,True,17.0,7,753.0,"<re.Match object; span=(0, 38), match=' سابع عشري رجب سنة ثلاث وخمسين وسبعمئة'>"
م الخميس خامس عشرين [...] من سنة تسعين,25,,,670,"['م', 'الخميس', 'خامس', 'عشرين', '.', '.', '.', 'من', 'سنة', 'تسعين']",False,True,False,,,90.0,"<re.Match object; span=(26, 39), match=' من سنة تسعين'>"
 يوم الخميس لأربع إن بقين من رمضان المعظم سنة إحدى وأربعين وسبعماية,26,Yawm al-khamis,9.0,741,"['يوم', 'الخميس', 'لاربع', 'ان', 'بقين', 'من', 'رمضان', 'المعظم', 'سنة', 'احدى', 'واربعين', 'وسبعماية']",False,True,True,,9,741.0,"<re.Match object; span=(0, 67), match=' يوم الخميس لاربع ان بقين من رمضان المعظم سنة احد>"
سادس ذي الحجة الحرام سنة اثنتين وسبعين وثماني مائة,6,,12.0,872,"['سادس', 'ذي', 'الحجة', 'الحرام', 'سنة', 'اثنتين', 'وسبعين', 'وثماني', 'مائة']",False,False,True,,,872.0,"<re.Match object; span=(0, 51), match=' سادس ذي الحجة الحرام سنة اثنتين وسبعين وثماني ما>"
يوم الأربعاء ثالث عشري ذي الحجة سنة خمس وسبعماية,23,Yawm al-arba'a,12.0,705,"['يوم', 'الاربعاء', 'ثالث', 'عشري', 'ذي', 'الحجة', 'سنة', 'خمس', 'وسبعماية']",False,True,True,13.0,12,705.0,"<re.Match object; span=(0, 49), match=' يوم الاربعاء ثالث عشري ذي الحجة سنة خمس وسبعماية>"
سادس عشر شهر الله المحرم سنة ثلاث وسبعين وسبعمية ,6,,1.0,773,"['سادس', 'عشر', 'شهر', 'الله', 'المحرم', 'سنة', 'ثلاث', 'وسبعين', 'وسبعمية']",False,True,True,16.0,1,773.0,"<re.Match object; span=(0, 49), match=' سادس عشر شهر الله المحرم سنة ثلاث وسبعين وسبعمية>"
في يوم الأحد سابع عشري شوال عام سبعين وسبع ماية,27,Yawm al-ahad,10.0,770,"['في', 'يوم', 'الاحد', 'سابع', 'عشري', 'شوال', 'عام', 'سبعين', 'وسبع', 'ماية']",False,True,True,17.0,10,770.0,"<re.Match object; span=(0, 48), match=' في يوم الاحد سابع عشري شوال عام سبعين وسبع ماية'>"
يوم الثلاثاء ثالث شعبان إحدى وسبعين وسبعماية,3,Yawm al-thalatha,8.0,771,"['يوم', 'الثلاثاء', 'ثالث', 'شعبان', 'احدى', 'وسبعين', 'وسبعماية']",False,False,False,,,,
الثاني والعشرين من شهر رمضان لسنة ثلا[ثين] وتسعماية,22,,9.0,930,"['الثاني', 'والعشرين', 'من', 'شهر', 'رمضان', 'لسنة', 'ثلاثين', 'وتسعماية']",False,False,False,,,,
يوم الجمعة سادس شهر رمضان المعظم قدره سنة ثمان وستين وثمان ماية,6,Yawm al-juma,9.0,868,"['يوم', 'الجمعة', 'سادس', 'شهر', 'رمضان', 'المعظم', 'قدره', 'سنة', 'ثمان', 'وستين', 'وثمان', 'ماية']",False,False,True,,,868.0,"<re.Match object; span=(0, 64), match=' يوم الجمعة سادس شهر رمضان المعظم قدره سنة ثمان و>"
يوم السبت حادي عشري محرم الحرام سنة سبع عشرة وتسع ماية,21,Yawm al-sabt,1.0,917,"['يوم', 'السبت', 'حادي', 'عشري', 'محرم', 'الحرام', 'سنة', 'سبع', 'عشرة', 'وتسع', 'ماية']",False,False,True,,,917.0,"<re.Match object; span=(0, 55), match=' يوم السبت حادي عشري محرم الحرام سنة سبع عشرة وتس>"
 تاسع عشر ربيع الأول سنة خمس وستين وثماني ماية,29,,3.0,865,"['تاسع', 'عشر', 'ربيع', 'الاول', 'سنة', 'خمس', 'وستين', 'وثماني', 'ماية']",False,True,True,19.0,3,865.0,"<re.Match object; span=(0, 46), match=' تاسع عشر ربيع الاول سنة خمس وستين وثماني ماية'>"
 ذلك في يوم الجمعة ثالث شوال المبارك,3,Yawm al-juma,10.0,868,"['ذلك', 'في', 'يوم', 'الجمعة', 'ثالث', 'شوال', 'المبارك']",False,False,False,,,,
يوم الخميس لأربع خلون من ربيع الآخر سنة ست وستين وستماية,4,Yawm al-khamis,4.0,666,"['يوم', 'الخميس', 'لاربع', 'خلون', 'من', 'ربيع', 'الاخر', 'سنة', 'ست', 'وستين', 'وستماية']",False,True,True,,4,666.0,"<re.Match object; span=(0, 57), match=' يوم الخميس لاربع خلون من ربيع الاخر سنة ست وستين>"
يوم السبت سابع عشر شهر رجب,17,Yawm al-sabt,7.0,؟,"['يوم', 'السبت', 'سابع', 'عشر', 'شهر', 'رجب']",False,False,False,,,,
 يوم الأربعاء لعشر إن بقين من شوال سنة تسعين وأربع مائة,19,Yawm al-arba'a,10.0,490,"['يوم', 'الاربعاء', 'لعشر', 'ان', 'بقين', 'من', 'شوال', 'سنة', 'تسعين', 'واربع', 'مائة']",False,True,True,,10,490.0,"<re.Match object; span=(0, 55), match=' يوم الاربعاء لعشر ان بقين من شوال سنة تسعين وارب>"
السابع من ربيع الأول وهو يوم الجمعة من سنة اثنتين وثمانين وسبعمئة,7,Yawm al-juma,3.0,782,"['السابع', 'من', 'ربيع', 'الاول', 'وهو', 'يوم', 'الجمعة', 'من', 'سنة', 'اثنتين', 'وثمانين', 'وسبعمئة']",False,False,True,,,782.0,"<re.Match object; span=(0, 66), match=' السابع من ربيع الاول وهو يوم الجمعة من سنة اثنتي>"
سادس شهر شعبان المعظم سنة ثلاث وستين وثماني مائة,6,,8.0,863,"['سادس', 'شهر', 'شعبان', 'المعظم', 'سنة', 'ثلاث', 'وستين', 'وثماني', 'مائة']",False,False,True,,,863.0,"<re.Match object; span=(0, 49), match=' سادس شهر شعبان المعظم سنة ثلاث وستين وثماني مائة>"
يوم الأحد ثامن جمادى من سنة ست عشر وثمان مائة,8,Yawm al-ahad,5.0,816,"['يوم', 'الاحد', 'ثامن', 'جمادى', 'من', 'سنة', 'ست', 'عشر', 'وثمان', 'مائة']",False,False,True,,,816.0,"<re.Match object; span=(0, 46), match=' يوم الاحد ثامن جمادى من سنة ست عشر وثمان مائة'>"
في يوم الثلاثاء ثامن رمضان المبارك سنة اثنتين وستمائة,8,Yawm al-thalatha,9.0,602,"['في', 'يوم', 'الثلاثاء', 'ثامن', 'رمضان', 'المبارك', 'سنة', 'اثنتين', 'وستمائة']",False,False,True,,,602.0,"<re.Match object; span=(0, 54), match=' في يوم الثلاثاء ثامن رمضان المبارك سنة اثنتين وس>"
يوم الأحد سادس شهر رمضان المبارك سنة اثنتين وستمائة,6,Yawm al-ahad,9.0,602,"['يوم', 'الاحد', 'سادس', 'شهر', 'رمضان', 'المبارك', 'سنة', 'اثنتين', 'وستمائة']",False,False,True,,,602.0,"<re.Match object; span=(0, 52), match=' يوم الاحد سادس شهر رمضان المبارك سنة اثنتين وستم>"
في يوم الخميس عاشر رمضان المبارك سنة اثنتين وستمائة,10,Yawm al-khamis,9.0,602,"['في', 'يوم', 'الخميس', 'عاشر', 'رمضان', 'المبارك', 'سنة', 'اثنتين', 'وستمائة']",False,False,True,,,602.0,"<re.Match object; span=(0, 52), match=' في يوم الخميس عاشر رمضان المبارك سنة اثنتين وستم>"
يوم الثلاثاء ثامن عشري جمادى الآخرة سنة سبع وستين وستمئة,28,Yawm al-thalatha,6.0,667,"['يوم', 'الثلاثاء', 'ثامن', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وستين', 'وستمئة']",False,True,True,18.0,6,667.0,"<re.Match object; span=(0, 57), match=' يوم الثلاثاء ثامن عشري جمادى الاخرة سنة سبع وستي>"
ليلة الثلاثاء ثاني عشري رجب الفرد من سنة إحدى وستمائة,22,Yawm al-thalatha,7.0,601,"['ليلة', 'الثلاثاء', 'ثاني', 'عشري', 'رجب', 'الفرد', 'من', 'سنة', 'احدى', 'وستمائة']",False,True,True,12.0,7,601.0,"<re.Match object; span=(0, 54), match=' ليلة الثلاثاء ثاني عشري رجب الفرد من سنة احدى وس>"
يوم الثلاثاء ثالث عشري جمادى الآخرة سنة سبع وستين وستمئة,23,Yawm al-thalatha,6.0,667,"['يوم', 'الثلاثاء', 'ثالث', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وستين', 'وستمئة']",False,True,True,13.0,6,667.0,"<re.Match object; span=(0, 57), match=' يوم الثلاثاء ثالث عشري جمادى الاخرة سنة سبع وستي>"
يوم الخميس خامس عشري جمادى الآخرة سنة سبع وستين وستمئة,25,Yawm al-khamis,6.0,667,"['يوم', 'الخميس', 'خامس', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وستين', 'وستمئة']",False,True,True,15.0,6,667.0,"<re.Match object; span=(0, 55), match=' يوم الخميس خامس عشري جمادى الاخرة سنة سبع وستين >"
في يوم الأربعاء تاسع شهر رمضان المبارك سنة اثنتين وستمائة,9,Yawm al-arba'a,9.0,602,"['في', 'يوم', 'الاربعاء', 'تاسع', 'شهر', 'رمضان', 'المبارك', 'سنة', 'اثنتين', 'وستمائة']",False,False,True,,,602.0,"<re.Match object; span=(0, 58), match=' في يوم الاربعاء تاسع شهر رمضان المبارك سنة اثنتي>"
تاسع عشر شهر رمضان سنة ثلاث وخمسين وثمان مائة,9,,9.0,853,"['تاسع', 'عشر', 'شهر', 'رمضان', 'سنة', 'ثلاث', 'وخمسين', 'وثمان', 'مائة']",False,True,True,19.0,9,853.0,"<re.Match object; span=(0, 46), match=' تاسع عشر شهر رمضان سنة ثلاث وخمسين وثمان مائة'>"
يوم الخميس التاسع والعشرين من ربيع الثاني وهو ختامه من شهور سنة إحدى وسبعين ومائتين وألف,29,,4.0,1271,"['يوم', 'الخميس', 'التاسع', 'والعشرين', 'من', 'ربيع', 'الثاني', 'وهو', 'ختامه', 'من', 'شهور', 'سنة', 'احدى', 'وسبعين', 'ومائتين', 'والف']",False,False,False,,,271.0,"<re.Match object; span=(0, 84), match=' يوم الخميس التاسع والعشرين من ربيع الثاني وهو خت>"
في اليوم الخامس عشر من شهر الله المحرم الحرام من شهور سنة خمسين وثمانمائة,15,,1.0,850,"['في', 'اليوم', 'الخامس', 'عشر', 'من', 'شهر', 'الله', 'المحرم', 'الحرام', 'من', 'شهور', 'سنة', 'خمسين', 'وثمانمائة']",False,False,True,,,850.0,"<re.Match object; span=(0, 74), match=' في اليوم الخامس عشر من شهر الله المحرم الحرام من>"
اثنتي عشرة وستمائة.,,,,612,"['اثنتي', 'عشرة', 'وستمائة', '.']",False,False,False,,,,
يوم الخميس سادس عشري من شهر المحرم سنة ثلاث وعشرين وسبعمائة,26,Yawm al-khamis,1.0,723,"['يوم', 'الخميس', 'سادس', 'عشري', 'من', 'شهر', 'المحرم', 'سنة', 'ثلاث', 'وعشرين', 'وسبعمائة']",False,True,True,16.0,1,723.0,"<re.Match object; span=(0, 60), match=' يوم الخميس سادس عشري من شهر المحرم سنة ثلاث وعشر>"
 ، وذلك يوم الاثنين خامس وعشرين جمادي الآخر سنة ثمان وسبعين ,25,Yawm al-ithnayn,6.0,78,"['،', 'وذلك', 'يوم', 'الاثنين', 'خامس', 'وعشرين', 'جمادي', 'الاخر', 'سنة', 'ثمان', 'وسبعين']",False,False,True,,End of,78.0,"<re.Match object; span=(2, 59), match=' وذلك يوم الاثنين خامس وعشرين جمادي الاخر سنة ثما>"
في يوم الاثنين الحادي و العشرين من صفر سنة ثلاث وعشرين وسبعمائة,21,Yawm al-ithnayn,2.0,723,"['في', 'يوم', 'الاثنين', 'الحادي', 'و', 'العشرين', 'من', 'صفر', 'سنة', 'ثلاث', 'وعشرين', 'وسبعمائة']",False,True,True,20.0,2,723.0,"<re.Match object; span=(0, 64), match=' في يوم الاثنين الحادي و العشرين من صفر سنة ثلاث >"
انقضاء العشر الأول من شهر شوال من سنة عشرين وستمائة,10,,10.0,620,"['انقضاء', 'العشر', 'الاول', 'من', 'شهر', 'شوال', 'من', 'سنة', 'عشرين', 'وستمائة']",False,True,True,,10,620.0,"<re.Match object; span=(0, 52), match=' انقضاء العشر الاول من شهر شوال من سنة عشرين وستم>"
في يوم الثلاثاء خامس عشر ذي القعدة الحرام سنة سبع وأربعين وسبعمائة,15,Yawm al-thalatha,11.0,747,"['في', 'يوم', 'الثلاثاء', 'خامس', 'عشر', 'ذي', 'القعدة', 'الحرام', 'سنة', 'سبع', 'واربعين', 'وسبعمائة']",False,False,True,,,747.0,"<re.Match object; span=(0, 67), match=' في يوم الثلاثاء خامس عشر ذي القعدة الحرام سنة سب>"
في يوم السبت [رابع؟] شهر رجب سنة إحدى وثلاثين وسبعماية,4,Yawm al-sabt,7.0,731,"['في', 'يوم', 'السبت', 'رابع', '؟', 'شهر', 'رجب', 'سنة', 'احدى', 'وثلاثين', 'وسبعماية']",False,True,True,,7,731.0,"<re.Match object; span=(20, 54), match=' شهر رجب سنة احدى وثلاثين وسبعماية'>"
يوم الجمعة حادي عشري شهر ربيع الأول سنة تسع وستين وستمائة,21,Yawm al-juma,3.0,669,"['يوم', 'الجمعة', 'حادي', 'عشري', 'شهر', 'ربيع', 'الاول', 'سنة', 'تسع', 'وستين', 'وستمائة']",False,True,True,11.0,3,669.0,"<re.Match object; span=(0, 58), match=' يوم الجمعة حادي عشري شهر ربيع الاول سنة تسع وستي>"
يوم الأربعاء تاسع عشري جمادى الآخرة سنة تسع وستين وستمائة,29,Yawm al-arba'a,6.0,669,"['يوم', 'الاربعاء', 'تاسع', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'تسع', 'وستين', 'وستمائة']",False,True,True,19.0,6,669.0,"<re.Match object; span=(0, 58), match=' يوم الاربعاء تاسع عشري جمادى الاخرة سنة تسع وستي>"
يوم الثلاثاء ثامن عشر ذي حجة [كذا] سنة تسع وستين وستمائة,18,Yawm al-thalatha,12.0,669,"['يوم', 'الثلاثاء', 'ثامن', 'عشر', 'ذي', 'حجة', 'كذا', 'سنة', 'تسع', 'وستين', 'وستمائة']",False,False,True,,,669.0,"<re.Match object; span=(0, 55), match=' يوم الثلاثاء ثامن عشر ذي حجة كذا سنة تسع وستين و>"
 يوم الثلاثاء ثالث عشري ذي الحجة سنة إحدى وعشرين وسبعمائة,23,Yawm al-thalatha,12.0,721,"['يوم', 'الثلاثاء', 'ثالث', 'عشري', 'ذي', 'الحجة', 'سنة', 'احدى', 'وعشرين', 'وسبعمائة']",False,True,True,13.0,12,721.0,"<re.Match object; span=(0, 57), match=' يوم الثلاثاء ثالث عشري ذي الحجة سنة احدى وعشرين >"
يوم الخميس ثاني عشري شهر رمضان المعظم سنة تسع وعشرين وسبعمائة,22,Yawm al-khamis,9.0,729,"['يوم', 'الخميس', 'ثاني', 'عشري', 'شهر', 'رمضان', 'المعظم', 'سنة', 'تسع', 'وعشرين', 'وسبعمائة']",False,True,True,12.0,9,729.0,"<re.Match object; span=(0, 62), match=' يوم الخميس ثاني عشري شهر رمضان المعظم سنة تسع وع>"
 في شوال تسع عشرة وخمس مائة,,,10.0,519,"['في', 'شوال', 'تسع', 'عشرة', 'وخمس', 'مائة']",False,False,False,,,,
